文件名,总变量数,存在漏洞变量数,危险路径总数,可疑路径总数,存在漏洞的变量名,分析时间,源码文件路径
0xf3eb8b0600739111e41c14be93fcff15f104e6e6,10,4,0,3,"totalSupply, spender, _from, _value",2025-10-10T13:05:27.547479,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf3eb8b0600739111e41c14be93fcff15f104e6e6.sol
0xf4be3da9df0c12e69115bb5614334786fbaf5ace,43,1,0,1,totalSupply,2025-10-10T13:06:09.407698,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4be3da9df0c12e69115bb5614334786fbaf5ace.sol
0xf4f5e4c5d5dfd01a3604016bc861ac3654a0c2e2,20,1,0,3,totalSupply,2025-10-10T13:06:04.013831,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4f5e4c5d5dfd01a3604016bc861ac3654a0c2e2.sol
0xf4acd4f5b97648800f579a8acee52cd5f8571342,8,3,0,0,"participants, benecifiary, maxWiteList",2025-10-10T13:04:56.599089,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4acd4f5b97648800f579a8acee52cd5f8571342.sol
0xf3a4d8e3f5bfbab3b2d42e46d23c461eb866d16e,47,2,0,2,"tokens, totalSupply_",2025-10-10T13:05:34.637143,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf3a4d8e3f5bfbab3b2d42e46d23c461eb866d16e.sol
0x475a8101fdde7f7246e31be77dd7dcb80f25d735,18,5,0,2,"creator, token, buy, price, currentOrderId",2025-10-10T13:05:19.887964,/Users/almightyfish/Desktop/AChecker/AC/undependency/0x475a8101fdde7f7246e31be77dd7dcb80f25d735.sol
0xf45c4e30e9a4d8107d7dbd0556065baedf03838d,6,1,0,0,totalSupply,2025-10-10T13:05:12.255068,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf45c4e30e9a4d8107d7dbd0556065baedf03838d.sol
0xf41624c6465e57a0dca498ef0b62f07cbaab09ca,15,2,1,1,"totalSupply, tokenAmount",2025-10-10T13:05:10.774261,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf41624c6465e57a0dca498ef0b62f07cbaab09ca.sol
0xf48d72e5a2419c0c6f5822854b7bb7bf135d1623,8,1,0,0,deposited,2025-10-10T13:04:57.835283,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf48d72e5a2419c0c6f5822854b7bb7bf135d1623.sol
0xf438e3a0c1bb9dc0ef6da672c97a282236d3f233,8,0,0,0,,2025-10-10T13:05:00.958012,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf438e3a0c1bb9dc0ef6da672c97a282236d3f233.sol
